序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
7938,詩歌,精熟,第6級,,11,3,"[['詩歌', ['33250']]]",ㄕ ㄍㄜ,shī gē
7939,施工,精熟,第6級,,6,11,"[['施工', ['33199']]]",ㄕ ㄍㄨㄥ,shī gōng
7940,嗜好,精熟,第6級,,13,4,"[['嗜好', ['33726']]]",ㄕˋ ㄏㄠˋ,shì hào
7941,失衡,精熟,第6級,,8,6,[],ㄕ ㄏㄥˊ,shī héng
7942,失火,精熟,第6級,,4,3,"[['失火', ['33144']]]",ㄕ ㄏㄨㄛˇ,shī huǒ
7943,事蹟,精熟,第6級,,15,5,"[['事蹟', ['33653']]]",ㄕˋ ㄐㄧ,shì jī
7944,世家,精熟,第6級,,8,3,"[['世家', ['33580']]]",ㄕˋ ㄐㄧㄚ,shì jiā
7945,施加,精熟,第6級,,7,2,[],ㄕ ㄐㄧㄚ,shī jiā
7946,世間,精熟,第6級,,19,13,"[['世間', ['33591']]]",ㄕˋ ㄐㄧㄢ,shì jiān
7947,時節,精熟,第6級,,11,37,"[['時節', ['33378']]]",ㄕˊ ㄐㄧㄝˊ,shí jié
7948,使節,精熟,第6級,,10,2,"[['使節', ['33470']]]",ㄕˇ ㄐㄧㄝˊ,shǐ jié
7949,使勁,精熟,第6級,,11,2,"[['使勁', ['33471']]]",ㄕˇ ㄐㄧㄣˋ,shǐ jìn
7950,詩句,精熟,第6級,,9,2,[],ㄕ ㄐㄩˋ,shī jù
7951,失控,精熟,第6級,,14,9,"[['失控', ['33141']]]",ㄕ ㄎㄨㄥˋ,shī kòng
7952,石塊,精熟,第6級,,9,10,[],ㄕˊ ㄎㄨㄞˋ,shí kuài
7953,實況,精熟,第6級,,4,2,"[['實況', ['33418']]]",ㄕˊ ㄎㄨㄤˋ,shí kuàng
7954,實例,精熟,第6級,,15,2,"[['實例', ['33415']]]",ㄕˊ ㄌㄧˋ,shí lì
7955,失利,精熟,第6級,,5,1,"[['失利', ['33137']]]",ㄕ ㄌㄧˋ,shī lì
7956,失禮,精熟,第6級,,5,1,"[['失禮', ['33136']]]",ㄕ ㄌㄧˇ,shī lǐ
7957,史料,精熟,第6級,,26,9,"[['史料', ['33455']]]",ㄕˇ ㄌㄧㄠˋ,shǐ liào
7958,失落,精熟,第6級,,16,14,"[['失落', ['33140']]]",ㄕ ㄌㄨㄛˋ,shī luò
7959,時髦,精熟,第6級,,10,4,"[['時髦', ['33365']]]",ㄕˊ ㄇㄠˊ,shí máo
7960,市面,精熟,第6級,,10,22,"[['市面', ['33514']]]",ㄕˋ ㄇㄧㄢˋ,shì miàn
7961,失眠,精熟,第6級,,15,19,"[['失眠', ['33130']]]",ㄕ ㄇㄧㄢˊ,shī mián
7962,使命,精熟,第6級,,20,21,"[['使命', ['33465']]]",ㄕˇ ㄇㄧㄥˋ,shǐ mìng
7963,失明,精熟,第6級,,5,7,"[['失明', ['33131']]]",ㄕ ㄇㄧㄥˊ,shī míng
7964,實情,精熟,第6級,,11,1,"[['實情', ['33428']]]",ㄕˊ ㄑㄧㄥˊ,shí qíng
7965,世人,精熟,第6級,,25,19,"[['世人', ['33603']]]",ㄕˋ ㄖㄣˊ,shì rén
7966,時日,精熟,第6級,,8,2,"[['時日', ['33400']]]",ㄕˊ ㄖˋ,shí rì
7967,時尚,精熟,第6級,,10,12,"[['時尚', ['33399']]]",ㄕˊ ㄕㄤˋ,shí shàng
7968,時勢,精熟,第6級,,5,1,"[['時勢', ['33398']]]",ㄕˊ ㄕˋ,shí shì
7969,實施,精熟,第6級,,42,24,"[['實施', ['33439']]]",ㄕˊ ㄕ,shí shī
7970,適時,精熟,第6級,,15,12,"[['適時', ['33751']]]",ㄕˋ ㄕˊ,shì shí
7971,世事,精熟,第6級,,8,3,"[['世事', ['33600']]]",ㄕˋ ㄕˋ,shì shì
7972,逝世,精熟,第6級,,12,2,"[['逝世', ['33702']]]",ㄕˋ ㄕˋ,shì shì
7973,史實,精熟,第6級,,8,1,"[['史實', ['33460']]]",ㄕˇ ㄕˊ,shǐ shí
7974,世俗,精熟,第6級,,15,12,"[['世俗', ['33604']]]",ㄕˋ ㄙㄨˊ,shì sú
7975,試探,精熟,第6級,,11,2,"[['試探', ['33617']]]",ㄕˋ ㄊㄢˋ,shì tàn
7976,實體,精熟,第6級,,11,9,"[['實體', ['33413']]]",ㄕˊ ㄊㄧˇ,shí tǐ
7977,屍體,精熟,第6級,,47,11,"[['屍體', ['33121']]]",ㄕ ㄊㄧˇ,shī tǐ
7978,失調,精熟,第6級,,14,4,"[['失調', ['33135']]]",ㄕ ㄊㄧㄠˊ,shī tiáo
7979,視聽,精熟,第6級,,4,3,"[['視聽', ['33552']]]",ㄕˋ ㄊㄧㄥ,shì tīng
7980,試圖,精熟,第6級,,57,22,"[['試圖', ['33619']]]",ㄕˋ ㄊㄨˊ,shì tú
7981,示威,精熟,第6級,,8,32,"[['示威', ['33550']]]",ㄕˋ ㄨㄟ,shì wēi
7982,實務,精熟,第6級,,26,10,"[['實務', ['33451']]]",ㄕˊ ㄨˋ,shí wù
7983,時下,精熟,第6級,,5,4,"[['時下', ['33385']]]",ㄕˊ ㄒㄧㄚˋ,shí xià
7984,時效,精熟,第6級,,2,0,"[['時效', ['33386']]]",ㄕˊ ㄒㄧㄠˋ,shí xiào
7985,實行,精熟,第6級,,31,15,"[['實行', ['33435']]]",ㄕˊ ㄒㄧㄥˊ,shí xíng
7986,施行,精熟,第6級,,12,8,"[['施行', ['33201']]]",ㄕ ㄒㄧㄥˊ,shī xíng
7987,誓言,精熟,第6級,,7,6,"[['誓言', ['33710']]]",ㄕˋ ㄧㄢˊ,shì yán
7988,飾演,精熟,第6級,,11,2,"[['飾演', ['33736']]]",ㄕˋ ㄧㄢˇ,shì yǎn
7989,事宜,精熟,第6級,,10,2,"[['事宜', ['33665']]]",ㄕˋ ㄧˊ,shì yí
7990,適宜,精熟,第6級,,5,4,"[['適宜', ['33755']]]",ㄕˋ ㄧˊ,shì yí
7991,示意,精熟,第6級,,14,1,"[['示意', ['33549']]]",ㄕˋ ㄧˋ,shì yì
7992,失意,精熟,第6級,,5,2,"[['失意', ['33181']]]",ㄕ ㄧˋ,shī yì
7993,詩意,精熟,第6級,,5,2,"[['詩意', ['33259']]]",ㄕ ㄧˋ,shī yì
7994,食用,精熟,第6級,,15,28,"[['食用', ['33360']]]",ㄕˊ ㄩㄥˋ,shí yòng
7995,食慾/食欲,精熟,第6級,,8,4,"[['食慾', ['33359']]]",ㄕˊ ㄩˋ,shí yù
7996,實戰,精熟,第6級,,19,1,[],ㄕˊ ㄓㄢˋ,shí zhàn
7997,施展,精熟,第6級,,10,2,"[['施展', ['33202']]]",ㄕ ㄓㄢˇ,shī zhǎn
7998,使者,精熟,第6級,,18,2,"[['使者', ['33473']]]",ㄕˇ ㄓㄜˇ,shǐ zhě
7999,實證,精熟,第6級,,11,2,"[['實證', ['33438']]]",ㄕˊ ㄓㄥˋ,shí zhèng
8000,實質,精熟,第6級,,25,16,"[['實質', ['33436']]]",ㄕˊ ㄓˊ,shí zhí
8001,食指,精熟,第6級,,9,4,"[['食指', ['33349']]]",ㄕˊ ㄓˇ,shí zhǐ
8002,適中,精熟,第6級,,3,3,"[['適中', ['33750']]]",ㄕˋ ㄓㄨㄥ,shì zhōng
8003,十字架,精熟,第6級,,8,4,"[['十字架', ['33279']]]",ㄕˊ ㄗˋ ㄐㄧㄚˋ,shí zì jià
8004,收成,精熟,第6級,,10,112,"[['收成', ['34126']]]",ㄕㄡ ㄔㄥˊ,shōu chéng
8005,受挫,精熟,第6級,,6,1,"[['受挫', ['34335']]]",ㄕㄡˋ ㄘㄨㄛˋ,shòu cuò
8006,守法,精熟,第6級,,4,2,"[['守法', ['34235']]]",ㄕㄡˇ ㄈㄚˇ,shǒu fǎ
8007,手法,精熟,第6級,,37,15,"[['手法', ['34173']]]",ㄕㄡˇ ㄈㄚˇ,shǒu fǎ
8008,收復,精熟,第6級,,7,1,"[['收復', ['34095']]]",ㄕㄡ ㄈㄨˋ,shōu fù
8009,手稿,精熟,第6級,,10,2,"[['手稿', ['34188']]]",ㄕㄡˇ ㄍㄠˇ,shǒu gǎo
8010,收購,精熟,第6級,,14,8,"[['收購', ['34106']]]",ㄕㄡ ㄍㄡˋ,shōu gòu
8011,手腳,精熟,第6級,,23,15,"[['手腳', ['34194']]]",ㄕㄡˇ ㄐㄧㄠˇ,shǒu jiǎo
8012,守舊,精熟,第6級,,4,1,"[['守舊', ['34245']]]",ㄕㄡˇ ㄐㄧㄡˋ,shǒu jiù
8013,授課,精熟,第6級,,6,3,"[['授課', ['34348']]]",ㄕㄡˋ ㄎㄜˋ,shòu kè
8014,首領,精熟,第6級,,17,2,"[['首領', ['34270']]]",ㄕㄡˇ ㄌㄧㄥˇ,shǒu lǐng
8015,收留,精熟,第6級,,5,3,"[['收留', ['34100']]]",ㄕㄡ ㄌㄧㄡˊ,shōu liú
8016,收錄,精熟,第6級,,10,4,"[['收錄', ['34103']]]",ㄕㄡ ㄌㄨˋ,shōu lù
8017,收買,精熟,第6級,,6,1,"[['收買', ['34090']]]",ㄕㄡ ㄇㄞˇ,shōu mǎi
8018,手帕,精熟,第6級,,11,10,"[['手帕', ['34171']]]",ㄕㄡˇ ㄆㄚˋ,shǒu pà
8019,手槍,精熟,第6級,,12,2,"[['手槍', ['34201']]]",ㄕㄡˇ ㄑㄧㄤ,shǒu qiāng
8020,授權,精熟,第6級,,14,8,"[['授權', ['34350']]]",ㄕㄡˋ ㄑㄩㄢˊ,shòu quán
8021,收容,精熟,第6級,,5,28,"[['收容', ['34133']]]",ㄕㄡ ㄖㄨㄥˊ,shōu róng
8022,首飾,精熟,第6級,,6,2,"[['首飾', ['34284']]]",ㄕㄡˇ ㄕˋ,shǒu shì
8023,受損,精熟,第6級,,15,12,"[['受損', ['34336']]]",ㄕㄡˋ ㄙㄨㄣˇ,shòu sǔn
8024,收縮,精熟,第6級,,12,5,"[['收縮', ['34138']]]",ㄕㄡ ㄙㄨㄛ,shōu suō
8025,手頭,精熟,第6級,,5,2,"[['手頭', ['34181']]]",ㄕㄡˇ ㄊㄡˊ,shǒu tóu
8026,守衛,精熟,第6級,,8,2,"[['守衛', ['34259']]]",ㄕㄡˇ ㄨㄟˋ,shǒu wèi
8027,首席,精熟,第6級,,10,4,"[['首席', ['34279']]]",ㄕㄡˇ ㄒㄧˊ,shǒu xí
8028,受限,精熟,第6級,,5,4,"[['受限', ['34321']]]",ㄕㄡˋ ㄒㄧㄢˋ,shòu xiàn
8029,首相,精熟,第6級,,8,16,"[['首相', ['34281']]]",ㄕㄡˇ ㄒㄧㄤˋ,shǒu xiàng
8030,壽星,精熟,第6級,,1,2,"[['壽星', ['34375']]]",ㄕㄡˋ ㄒㄧㄥ,shòu xīng
8031,受訓,精熟,第6級,,7,6,"[['受訓', ['34323']]]",ㄕㄡˋ ㄒㄩㄣˋ,shòu xùn
8032,收養,精熟,第6級,,10,8,"[['收養', ['34143']]]",ㄕㄡ ㄧㄤˇ,shōu yǎng
8033,首要,精熟,第6級,,12,9,"[['首要', ['34290']]]",ㄕㄡˇ ㄧㄠˋ,shǒu yào
8034,受益,精熟,第6級,,9,6,"[['受益', ['34337']]]",ㄕㄡˋ ㄧˋ,shòu yì
8035,手藝,精熟,第6級,,9,8,"[['手藝', ['34221']]]",ㄕㄡˇ ㄧˋ,shǒu yì
8036,收益,精熟,第6級,,9,10,"[['收益', ['34139']]]",ㄕㄡ ㄧˋ,shōu yì
8037,手肘,精熟,第6級,,12,3,"[['手肘', ['34209']]]",ㄕㄡˇ ㄓㄡˇ,shǒu zhǒu
8038,手足,精熟,第6級,,11,3,"[['手足', ['34217']]]",ㄕㄡˇ ㄗㄨˊ,shǒu zú
8039,豎,精熟,第6級,,9,3,"[['豎', ['35470']]]",ㄕㄨˋ,shù
8040,舒暢,精熟,第6級,,5,3,"[['舒暢', ['35274']]]",ㄕㄨ ㄔㄤˋ,shū chàng
8041,輸出,精熟,第6級,,20,7,"[['輸出', ['35358']]]",ㄕㄨ ㄔㄨ,shū chū
8042,樹叢,精熟,第6級,,9,2,"[['樹叢', ['35490']]]",ㄕㄨˋ ㄘㄨㄥˊ,shù cóng
8043,束縛,精熟,第6級,,16,4,"[['束縛', ['35420']]]",ㄕㄨˋ ㄈㄨˊ,shù fú
8044,樹幹,精熟,第6級,,14,10,"[['樹幹', ['35482']]]",ㄕㄨˋ ㄍㄢˋ,shù gàn
8045,疏忽,精熟,第6級,,12,5,"[['疏忽', ['35297']]]",ㄕㄨ ㄏㄨ,shū hū
8046,舒緩,精熟,第6級,,7,6,"[['舒緩', ['35272']]]",ㄕㄨ ㄏㄨㄢˇ,shū huǎn
8047,紓解,精熟,第6級,,11,7,"[['紓解', ['35268']]]",ㄕㄨ ㄐㄧㄝˇ,shū jiě
8048,樹立,精熟,第6級,,9,4,"[['樹立', ['35480']]]",ㄕㄨˋ ㄌㄧˋ,shù lì
8049,疏離,精熟,第6級,,14,4,"[['疏離', ['35293']]]",ㄕㄨ ㄌㄧˊ,shū lí
8050,熟練,精熟,第6級,,13,11,"[['熟練', ['34149']]]",ㄕㄨˊ ㄌㄧㄢˋ,shú liàn
8051,署名,精熟,第6級,,5,1,"[['署名', ['35451']]]",ㄕㄨˋ ㄇㄧㄥˊ,shù míng
8052,淑女,精熟,第6級,,5,1,"[['淑女', ['35370']]]",ㄕㄨˊ ㄋㄩˇ,shú nǚ
8053,輸入,精熟,第6級,,23,7,"[['輸入', ['35359']]]",ㄕㄨ ㄖㄨˋ,shū rù
8054,疏散,精熟,第6級,,2,9,"[['疏散', ['35302']]]",ㄕㄨ ㄙㄢˋ,shū sàn
8055,熟識,精熟,第6級,,6,3,"[['熟識', ['34157']]]",ㄕㄨˊ ㄕˋ,shú shì
8056,束手無策,精熟,第6級,,8,4,"[['束手無策', ['35427']]]",ㄕㄨˋ ㄕㄡˇ ㄨˊ ㄘㄜˋ,shù shǒu wú cè
8057,述說,精熟,第6級,,9,4,"[['述說', ['35432']]]",ㄕㄨˋ ㄕㄨㄛ,shù shuō
8058,屬下,精熟,第6級,,10,0,"[['屬下', ['35398']]]",ㄕㄨˇ ㄒㄧㄚˋ,shǔ xià
8059,輸血,精熟,第6級,,3,1,"[['輸血', ['35356']]]",ㄕㄨ ㄒㄧㄝˇ,shū xiě
8060,屬性,精熟,第6級,,12,3,"[['屬性', ['35400']]]",ㄕㄨˇ ㄒㄧㄥˋ,shǔ xìng
8061,樹蔭,精熟,第6級,,6,2,"[['樹蔭', ['35492']]]",ㄕㄨˋ ㄧㄣˋ,shù yìn
8062,術語,精熟,第6級,,12,3,"[['術語', ['35438']]]",ㄕㄨˋ ㄩˇ,shù yǔ
8063,疏遠,精熟,第6級,,9,1,"[['疏遠', ['35305']]]",ㄕㄨ ㄩㄢˇ,shū yuǎn
8064,熟知,精熟,第6級,,9,7,"[['熟知', ['34155']]]",ㄕㄨˊ ㄓ,shú zhī
8065,數值,精熟,第6級,,8,7,"[['數值', ['35465']]]",ㄕㄨˋ ㄓˊ,shù zhí
8066,耍,精熟,第6級,,17,7,"[['耍', ['35499']]]",ㄕㄨㄚˇ,shuǎ
8067,甩,精熟,第6級,,13,6,"[['甩', ['35574']]]",ㄕㄨㄞˇ,shuǎi
8068,衰老,精熟,第6級,,6,2,"[['衰老', ['35561']]]",ㄕㄨㄞ ㄌㄠˇ,shuāi lǎo
8069,帥氣,精熟,第6級,,3,3,[],ㄕㄨㄞˋ ㄑㄧˋ,shuài qì
8070,衰弱,精熟,第6級,,10,3,"[['衰弱', ['35564']]]",ㄕㄨㄞ ㄖㄨㄛˋ,shuāi ruò
8071,衰退,精熟,第6級,,14,14,"[['衰退', ['35560']]]",ㄕㄨㄞ ㄊㄨㄟˋ,shuāi tuì
8072,率先,精熟,第6級,,11,7,"[['率先', ['35584']]]",ㄕㄨㄞˋ ㄒㄧㄢ,shuài xiān
8073,霜,精熟,第6級,,7,20,"[['霜', ['35794']]]",ㄕㄨㄤ,shuāng
8074,雙重,精熟,第6級,,16,6,"[['雙重', ['35826']]]",ㄕㄨㄤ ㄔㄨㄥˊ,shuāng chóng
8075,爽快,精熟,第6級,,5,2,"[['爽快', ['35853']]]",ㄕㄨㄤˇ ㄎㄨㄞˋ,shuǎng kuài
8076,水流,精熟,第6級,,9,19,"[['水流', ['35634']]]",ㄕㄨㄟˇ ㄌㄧㄡˊ,shuǐ liú
8077,水泥,精熟,第6級,,14,28,"[['水泥', ['35623']]]",ㄕㄨㄟˇ ㄋㄧˊ,shuǐ ní
8078,稅收,精熟,第6級,,8,4,"[['稅收', ['35727']]]",ㄕㄨㄟˋ ㄕㄡ,shuì shōu
8079,水手,精熟,第6級,,10,1,"[['水手', ['35687']]]",ㄕㄨㄟˇ ㄕㄡˇ,shuǐ shǒu
8080,水桶,精熟,第6級,,8,10,[],ㄕㄨㄟˇ ㄊㄨㄥˇ,shuǐ tǒng
8081,水域,精熟,第6級,,5,7,"[['水域', ['35712']]]",ㄕㄨㄟˇ ㄩˋ,shuǐ yù
8082,水源,精熟,第6級,,7,52,"[['水源', ['35713']]]",ㄕㄨㄟˇ ㄩㄢˊ,shuǐ yuán
8083,順暢,精熟,第6級,,13,9,"[['順暢', ['35778']]]",ㄕㄨㄣˋ ㄔㄤˋ,shùn chàng
8084,順從,精熟,第6級,,12,3,"[['順從', ['35785']]]",ㄕㄨㄣˋ ㄘㄨㄥˊ,shùn cóng
8085,瞬間,精熟,第6級,,28,24,"[['瞬間', ['35756']]]",ㄕㄨㄣˋ ㄐㄧㄢ,shùn jiān
8086,順勢,精熟,第6級,,10,3,"[['順勢', ['35779']]]",ㄕㄨㄣˋ ㄕˋ,shùn shì
8087,順手,精熟,第6級,,13,4,"[['順手', ['35780']]]",ㄕㄨㄣˋ ㄕㄡˇ,shùn shǒu
8088,說穿,精熟,第6級,,6,3,"[['說穿', ['35538']]]",ㄕㄨㄛ ㄔㄨㄢ,shuō chuān
8089,說教,精熟,第6級,,6,1,"[['說教', ['35531']]]",ㄕㄨㄛ ㄐㄧㄠˋ,shuō jiào
8090,說笑,精熟,第6級,,4,0,"[['說笑', ['35534']]]",ㄕㄨㄛ ㄒㄧㄠˋ,shuō xiào
8091,撕,精熟,第6級,,6,10,"[['撕', ['26326', '38565']]]",ㄙ,sī
8092,思潮,精熟,第6級,,8,3,"[['思潮', ['38552']]]",ㄙ ㄔㄠˊ,sī cháo
8093,似的,精熟,第6級,,76,3,[],ㄙˋ ˙ㄉㄜ,sì de
8094,司法,精熟,第6級,,15,5,"[['司法', ['38498']]]",ㄙ ㄈㄚˇ,sī fǎ
8095,四海,精熟,第6級,,9,2,"[['四海', ['38655']]]",ㄙˋ ㄏㄞˇ,sì hǎi
8096,嘶喊,精熟,第6級,,1,0,"[['嘶喊', ['38573']]]",ㄙ ㄏㄢˇ,sī hǎn
8097,絲毫,精熟,第6級,,32,11,"[['絲毫', ['38578']]]",ㄙ ㄏㄠˊ,sī háo
8098,嘶吼,精熟,第6級,,3,1,"[['嘶吼', ['38572']]]",ㄙ ㄏㄡˇ,sī hǒu
8099,思路,精熟,第6級,,9,2,"[['思路', ['38543']]]",ㄙ ㄌㄨˋ,sī lù
8100,四面八方,精熟,第6級,,8,4,"[['四面八方', ['38644']]]",ㄙˋ ㄇㄧㄢˋ ㄅㄚ ㄈㄤ,sì miàn bā fāng
8101,死神,精熟,第6級,,8,3,"[['死神', ['38621']]]",ㄙˇ ㄕㄣˊ,sǐ shén
8102,思索,精熟,第6級,,35,8,"[['思索', ['38553']]]",ㄙ ㄙㄨㄛˇ,sī suǒ
8103,思維,精熟,第6級,,41,30,"[['思維', ['38555']]]",ㄙ ㄨㄟˊ,sī wéi
8104,死心,精熟,第6級,,5,1,"[['死心', ['38612']]]",ㄙˇ ㄒㄧㄣ,sǐ xīn
8105,私心,精熟,第6級,,5,1,"[['私心', ['38523']]]",ㄙ ㄒㄧㄣ,sī xīn
8106,死刑,精熟,第6級,,17,2,"[['死刑', ['38617']]]",ㄙˇ ㄒㄧㄥˊ,sǐ xíng
8107,思緒,精熟,第6級,,23,2,"[['思緒', ['38551']]]",ㄙ ㄒㄩˋ,sī xù
8108,飼養,精熟,第6級,,9,11,"[['飼養', ['38702']]]",ㄙˋ ㄧㄤˇ,sì yǎng
8109,賜予,精熟,第6級,,8,3,"[['賜予', ['38713']]]",ㄙˋ ㄩˇ,sì yǔ
8110,寺院,精熟,第6級,,12,10,"[['寺院', ['38687']]]",ㄙˋ ㄩㄢˋ,sì yuàn
8111,死者,精熟,第6級,,22,3,[],ㄙˇ ㄓㄜˇ,sǐ zhě
8112,四肢,精熟,第6級,,15,11,"[['四肢', ['38666']]]",ㄙˋ ㄓ,sì zhī
8113,鬆弛,精熟,第6級,,11,1,"[['鬆弛', ['39299']]]",ㄙㄨㄥ ㄔˊ,sōng chí
8114,鬆散,精熟,第6級,,5,4,"[['鬆散', ['39302']]]",ㄙㄨㄥ ㄙㄢˇ,sōng sǎn
8115,松樹/松,精熟,第6級,,22,8,"[['松樹', ['39286']], ['松', ['39276']]]",ㄙㄨㄥ ㄕㄨˋ/ㄙㄨㄥ,sōng shù/sōng
8116,鬆懈,精熟,第6級,,7,4,"[['鬆懈', ['39298']]]",ㄙㄨㄥ ㄒㄧㄝˋ,sōng xiè
8117,送行,精熟,第6級,,5,3,"[['送行', ['39332']]]",ㄙㄨㄥˋ ㄒㄧㄥˊ,sòng xíng
8118,慫恿,精熟,第6級,,7,1,"[['慫恿', ['39311']]]",ㄙㄨㄥˇ ㄩㄥˇ,sǒng yǒng
8119,搜查,精熟,第6級,,8,1,"[['搜查', ['38829']]]",ㄙㄡ ㄔㄚˊ,sōu chá
8120,搜集,精熟,第6級,,8,13,[],ㄙㄡ ㄐㄧˊ,sōu jí
8121,搜索,精熟,第6級,,11,6,"[['搜索', ['38831']]]",ㄙㄡ ㄙㄨㄛˇ,sōu suǒ
8122,素材,精熟,第6級,,11,15,"[['素材', ['39035']]]",ㄙㄨˋ ㄘㄞˊ,sù cái
8123,俗稱,精熟,第6級,,11,17,"[['俗稱', ['39011']]]",ㄙㄨˊ ㄔㄥ,sú chēng
8124,訴求,精熟,第6級,,11,15,"[['訴求', ['39068']]]",ㄙㄨˋ ㄑㄧㄡˊ,sù qiú
8125,訴說,精熟,第6級,,14,8,"[['訴說', ['39071']]]",ㄙㄨˋ ㄕㄨㄛ,sù shuō
8126,訴訟,精熟,第6級,,9,2,"[['訴訟', ['39072']]]",ㄙㄨˋ ㄙㄨㄥˋ,sù sòng
8127,甦醒,精熟,第6級,,6,5,"[['甦醒', ['38993']]]",ㄙㄨ ㄒㄧㄥˇ,sū xǐng
8128,素養,精熟,第6級,,9,9,"[['素養', ['39038']]]",ㄙㄨˋ ㄧㄤˇ,sù yǎng
8129,俗語,精熟,第6級,,4,3,"[['俗語', ['39015']]]",ㄙㄨˊ ㄩˇ,sú yǔ
8130,塑造,精熟,第6級,,23,6,"[['塑造', ['39092']]]",ㄙㄨˋ ㄗㄠˋ,sù zào
8131,素質,精熟,第6級,,10,3,"[['素質', ['39031']]]",ㄙㄨˋ ㄓˊ,sù zhí
8132,算數,精熟,第6級,,6,3,"[['算數', ['39250']]]",ㄙㄨㄢˋ ㄕㄨˋ,suàn shù
8133,遂,精熟,第6級,,65,3,"[['遂', ['39203']]]",ㄙㄨㄟˋ,suì
8134,隨從1,精熟,第6級,,13,0,"[['隨從', ['39193', '39194']]]",ㄙㄨㄟˊ ㄘㄨㄥˊ,suí cóng
8135,隧道,精熟,第6級,,9,14,"[['隧道', ['39206']]]",ㄙㄨㄟˋ ㄉㄠˋ,suì dào
8136,隨後,精熟,第6級,,35,11,"[['隨後', ['39178']]]",ㄙㄨㄟˊ ㄏㄡˋ,suí hòu
8137,隨即,精熟,第6級,,36,8,"[['隨即', ['39181']]]",ㄙㄨㄟˊ ㄐㄧˊ,suí jí
8138,隨心所欲,精熟,第6級,,6,2,"[['隨心所欲', ['39182']]]",ㄙㄨㄟˊ ㄒㄧㄣ ㄙㄨㄛˇ ㄩˋ,suí xīn suǒ yù
8139,隨之,精熟,第6級,,8,2,[],ㄙㄨㄟˊ ㄓ,suí zhī
8140,隨從2,精熟,第6級,,13,0,"[['隨從', ['39193', '39194']]]",ㄙㄨㄟˊ ㄗㄨㄥˋ,suí zòng
8141,損害,精熟,第6級,,15,9,"[['損害', ['39263']]]",ㄙㄨㄣˇ ㄏㄞˋ,sǔn hài
8142,損傷,精熟,第6級,,12,5,"[['損傷', ['39268']]]",ㄙㄨㄣˇ ㄕㄤ,sǔn shāng
8143,縮,精熟,第6級,,13,9,"[['縮', ['39108']]]",ㄙㄨㄛ,suō
8144,所得,精熟,第6級,,13,5,"[['所得', ['39121']]]",ㄙㄨㄛˇ ㄉㄜˊ,suǒ dé
8145,鎖定,精熟,第6級,,7,13,"[['鎖定', ['39154']]]",ㄙㄨㄛˇ ㄉㄧㄥˋ,suǒ dìng
8146,縮短,精熟,第6級,,11,10,"[['縮短', ['39109']]]",ㄙㄨㄛ ㄉㄨㄢˇ,suō duǎn
8147,索取,精熟,第6級,,5,1,"[['索取', ['39142']]]",ㄙㄨㄛˇ ㄑㄩˇ,suǒ qǔ
8148,瑣事,精熟,第6級,,7,2,"[['瑣事', ['39150']]]",ㄙㄨㄛˇ ㄕˋ,suǒ shì
8149,瑣碎,精熟,第6級,,6,1,"[['瑣碎', ['39151']]]",ㄙㄨㄛˇ ㄙㄨㄟˋ,suǒ suì
8150,縮寫,精熟,第6級,,4,3,"[['縮寫', ['39114']]]",ㄙㄨㄛ ㄒㄧㄝˇ,suō xiě
8151,所幸,精熟,第6級,,10,7,"[['所幸', ['39127']]]",ㄙㄨㄛˇ ㄒㄧㄥˋ,suǒ xìng
8152,索性,精熟,第6級,,11,2,"[['索性', ['39143']]]",ㄙㄨㄛˇ ㄒㄧㄥˋ,suǒ xìng
8153,所在,精熟,第6級,,47,12,"[['所在', ['39130']]]",ㄙㄨㄛˇ ㄗㄞˋ,suǒ zài
8154,所作所為,精熟,第6級,,9,3,"[['所作所為', ['39131']]]",ㄙㄨㄛˇ ㄗㄨㄛˋ ㄙㄨㄛˇ ㄨㄟˊ,suǒ zuò suǒ wéi
8155,踏實,精熟,第6級,,12,14,"[['踏實', ['9948']]]",ㄊㄚˋ ㄕˊ,tà shí
8156,胎,精熟,第6級,,8,6,"[['胎', ['10038']]]",ㄊㄞ,tāi
8157,台詞/臺詞,精熟,第6級,,6,1,[],ㄊㄞˊ ㄘˊ,tái cí
8158,胎兒,精熟,第6級,,13,9,"[['胎兒', ['10045']]]",ㄊㄞ ㄦˊ,tāi ér
8159,抬高,精熟,第6級,,8,3,"[['抬高', ['10049']]]",ㄊㄞˊ ㄍㄠ,tái gāo
8160,台階,精熟,第6級,,13,3,[],ㄊㄞˊ ㄐㄧㄝ,tái jiē
8161,太平,精熟,第6級,,13,4,"[['太平', ['10092']]]",ㄊㄞˋ ㄆㄧㄥˊ,tài píng
8162,潭,精熟,第6級,,6,3,"[['潭', ['10455']]]",ㄊㄢˊ,tán
8163,攤,精熟,第6級,,13,18,"[['攤', ['10442']]]",ㄊㄢ,tān
8164,灘,精熟,第6級,,7,8,"[['灘', ['10440']]]",ㄊㄢ,tān
8165,坦承,精熟,第6級,,9,3,"[['坦承', ['10520']]]",ㄊㄢˇ ㄔㄥˊ,tǎn chéng
8166,坦誠,精熟,第6級,,7,1,"[['坦誠', ['10519']]]",ㄊㄢˇ ㄔㄥˊ,tǎn chéng
