"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
47,"家",1060,1286,"ㄐㄧㄚ","jiā","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
48,"叫",533,570,"ㄐㄧㄠˋ","jiào","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
49,"腳",208,178,"ㄐㄧㄠˇ","jiǎo","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
50,"姊姊/姐姐/姊/姐",108,328,"ㄐㄧㄝˇ ˙ㄐㄧㄝ / ㄐㄧㄝˇ","jiějie / jiě","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
51,"今年",44,343,"ㄐㄧㄣ ㄋㄧㄢˊ","jīnnián","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
52,"今天",290,1071,"ㄐㄧㄣ ㄊㄧㄢ","jīntiān","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
53,"就",7262,16921,"ㄐㄧㄡˋ","jiù","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
54,"久",276,293,"ㄐㄧㄡˇ","jiǔ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
55,"九",138,82,"ㄐㄧㄡˇ","jiǔ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
56,"咖啡",55,89,"ㄎㄚ ㄈㄟ","kāfēi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-food-dining"
57,"看1",1808,3076,"ㄎㄢˋ","kàn","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
58,"可能",1124,1522,"ㄎㄜˇ ㄋㄥˊ","kěnéng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
59,"可以",2312,4257,"ㄎㄜˇ ㄧˇ","kěyǐ","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
60,"塊",240,542,"ㄎㄨㄞˋ","kuài","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
61,"來",2983,5979,"ㄌㄞˊ","lái","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
62,"老",367,267,"ㄌㄠˇ","lǎo","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
63,"老師",327,1420,"ㄌㄠˇ ㄕ","lǎoshī","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-education-learning"
64,"冷",71,215,"ㄌㄥˇ","lěng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
65,"兩",2149,1737,"ㄌㄧㄤˇ","liǎng","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
66,"六",306,208,"ㄌㄧㄡˋ","liù","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
67,"路",300,352,"ㄌㄨˋ","lù","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
68,"嗎",945,1760,"˙ㄇㄚ","ma","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
69,"買",262,449,"ㄇㄞˇ","mǎi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
70,"媽媽/媽",402,1342,"ㄇㄚ ˙ㄇㄚ / ㄇㄚ","māma / ma","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
71,"沒",1269,1260,"ㄇㄟˊ","méi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
72,"沒關係",27,107,"ㄇㄟˊ ㄍㄨㄢ ˙ㄒㄧ","méiguānxi","UC::TBCL-level-1, UC::TBCL-basic, UC::TBCL-context-core"
