"id","word","written_freq","spoken_freq","zhuyin","pinyin","tags"
1075,"方向",146,124,"ㄈㄤ ㄒㄧㄤˋ","fāngxiàng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1076,"房",66,24,"ㄈㄤˊ","fáng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1077,"房屋",20,37,"ㄈㄤˊ ㄨ","fángwū","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1078,"放心",38,45,"ㄈㄤˋ ㄒㄧㄣ","fàngxīn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1079,"發燒",14,16,"ㄈㄚ ㄕㄠ","fāshāo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1080,"改",51,65,"ㄍㄞˇ","gǎi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1081,"剛好",46,196,"ㄍㄤ ㄏㄠˇ","gānghǎo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1082,"感覺",373,534,"ㄍㄢˇ ㄐㄩㄝˊ","gǎnjué","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1083,"高級",39,15,"ㄍㄠ ㄐㄧˊ","gāojí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1084,"公路",32,43,"ㄍㄨㄥ ㄌㄨˋ","gōnglù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-travel-transport"
1085,"工人",48,28,"ㄍㄨㄥ　 ㄖㄣˊ","gōngrén","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-work-career"
1086,"光",150,192,"ㄍㄨㄤ","guāng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1087,"姑姑/姑",20,13,"ㄍㄨ　 ˙ㄍㄨ /ㄍㄨ","gūgu/ gū","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1088,"姑媽",6,1,"ㄍㄨ  ㄇㄚ","gūmā","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1089,"櫃子/櫃",17,10,"ㄍㄨㄟˋ　˙ㄗ/ㄍㄨㄟˋ","guìzi/guì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1090,"國小",20,99,"ㄍㄨㄛˊ ㄒㄧㄠˇ","guóxiǎo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1091,"害怕",125,81,"ㄏㄞˋ ㄆㄚˋ","hàipà","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1092,"汗",42,18,"ㄏㄢˋ","hàn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1093,"合適",28,7,"ㄏㄜˊ ㄕˋ","héshì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1094,"合作",117,128,"ㄏㄜˊ ㄗㄨㄛˋ","hézuò","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-social-relations"
1095,"畫家",35,31,"ㄏㄨㄚˋ ㄐㄧㄚ","huàjiā","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-leisure-entertainment"
1096,"環保",13,396,"ㄏㄨㄢˊ ㄅㄠˇ","huánbǎo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-society-community"
1097,"極",224,79,"ㄐㄧˊ","jí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1098,"加班",6,6,"ㄐㄧㄚ ㄅㄢ","jiābān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-work-career"
1099,"家具/傢俱",24,25,"ㄐㄧㄚ　 ㄐㄩˋ","jiājù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1100,"減",19,92,"ㄐㄧㄢˇ","jiǎn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1101,"建議",195,112,"ㄐㄧㄢˋ ㄧˋ","jiànyì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1102,"教授",167,175,"ㄐㄧㄠˋ ㄕㄡˋ","jiàoshòu","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1103,"教書",16,17,"ㄐㄧㄠ ㄕㄨ","jiāoshū","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-work-career"
1104,"叫做",97,331,"ㄐㄧㄠˋ ㄗㄨㄛˋ","jiàozuò","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1105,"假日",11,34,"ㄐㄧㄚˋ ㄖˋ","jiàrì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1106,"接著/接着",243,100,"ㄐㄧㄝ ˙ㄓㄜ","jiēzhe","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1107,"結果",484,379,"ㄐㄧㄝˊ ㄍㄨㄛˇ","jiéguǒ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1108,"結束",152,124,"ㄐㄧㄝˊ ㄕㄨˋ","jiéshù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1109,"節日",8,13,"ㄐㄧㄝˊ ㄖˋ","jiérì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-culture-arts"
1110,"經常",196,102,"ㄐㄧㄥ ㄔㄤˊ","jīngcháng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1111,"精神",305,197,"ㄐㄧㄥ ㄕㄣˊ","jīngshén","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1112,"金色",15,7,"ㄐㄧㄣ ㄙㄜˋ","jīnsè","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1113,"居留證",1,1,"ㄐㄩ ㄌㄧㄡˊ ㄓㄥˋ","jūliúzhèng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-public-services"
1114,"開會",31,23,"ㄎㄞ ㄏㄨㄟˋ","kāihuì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-work-career"
1115,"開玩笑",26,35,"ㄎㄞ ㄨㄢˊ ㄒㄧㄠˋ","kāiwánxiào","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1116,"看法",118,45,"ㄎㄢˋ　ㄈㄚˇ","kànfǎ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1117,"咳",11,3,"ㄎㄜˊ","ké","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1118,"咳嗽",15,13,"ㄎㄜˊ ㄙㄡˋ","késòu","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1119,"可惜",66,56,"ㄎㄜˇ ㄒㄧˊ","kěxí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1120,"困難",170,207,"ㄎㄨㄣˋ ㄋㄢˊ","kùnnán","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1121,"籃子",8,9,"ㄌㄢˊ ˙ㄗ","lánzi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1122,"老闆娘/老板娘",11,13,"ㄌㄠˇ　ㄅㄢˇ　ㄋㄧㄤˊ","lǎobǎnniáng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1123,"老太太",22,5,"ㄌㄠˇ ㄊㄞˋ ˙ㄊㄞ","lǎotàitɑi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1124,"類",210,131,"ㄌㄟˋ","lèi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1125,"連",362,284,"ㄌㄧㄢˊ","lián","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1126,"臉色",37,11,"ㄌㄧㄢˇ　ㄙㄜˋ","liǎnsè","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1127,"涼",18,33,"ㄌㄧㄤˊ","liáng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-environment-nature"
1128,"了解/瞭解",375,339,"ㄌㄧㄠˇ ㄐㄧㄝˇ","liǎojiě","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1129,"禮貌",35,16,"ㄌㄧˇ ㄇㄠˋ","lǐmào","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-social-relations"
1130,"零用錢",6,27,"ㄌㄧㄥˊ ㄩㄥˋ ㄑㄧㄢˊ","língyòngqián","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1131,"例如",302,125,"ㄌㄧˋ ㄖㄨˊ","lìrú","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1132,"流",46,96,"ㄌㄧㄡˊ","liú","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1133,"留下",116,74,"ㄌㄧㄡˊ ㄒㄧㄚˋ","liúxià","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1134,"利用",181,301,"ㄌㄧˋ ㄩㄥˋ","lìyòng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-travel-transport"
1135,"毛",66,38,"ㄇㄠˊ","máo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1136,"美麗",105,169,"ㄇㄟˇ ㄌㄧˋ","měilì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1137,"沒想到",56,88,"ㄇㄟˊ ㄒㄧㄤˇ ㄉㄠˋ","méixiǎngdào","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1138,"米",140,199,"ㄇㄧˇ","mǐ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-food-dining"
1139,"母語",7,6,"ㄇㄨˇ ㄩˇ","mǔyǔ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1140,"目的",159,100,"ㄇㄨˋ ㄉㄧˋ","mùdì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1141,"爬",53,37,"ㄆㄚˊ","pá","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1142,"派對",20,1,"ㄆㄞˋ ㄉㄨㄟˋ","pàiduì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-social-relations"
1143,"拼音",6,4,"ㄆㄧㄣ ㄧㄣ","pīnyīn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1144,"其實",431,2878,"ㄑㄧˊ ㄕˊ","qíshí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1145,"其中",353,207,"ㄑㄧˊ ㄓㄨㄥ","qízhōng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1146,"起",382,295,"ㄑㄧˇ","qǐ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1147,"淺",23,21,"ㄑㄧㄢˇ","qiǎn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1148,"晴天",4,1,"ㄑㄧㄥˊ ㄊㄧㄢ","qíngtiān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-travel-transport"
1149,"情形",146,96,"ㄑㄧㄥˊ ㄒㄧㄥˊ","qíngxíng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1150,"熱鬧",27,31,"ㄖㄜˋ ㄋㄠˋ","rènào","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1151,"日記",28,13,"ㄖˋ ㄐㄧˋ","rìjì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1152,"日子",132,77,"ㄖˋ ˙ㄗ","rìzi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1153,"散步",31,12,"ㄙㄢˋ ㄅㄨˋ","sànbù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-leisure-entertainment"
1154,"商人",38,11,"ㄕㄤ ㄖㄣˊ","shāngrén","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-work-career"
1155,"上衣",11,3,"ㄕㄤˋ ㄧ","shàngyī","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1156,"社會",604,419,"ㄕㄜˋ ㄏㄨㄟˋ","shèhuì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-society-community"
1157,"深",150,145,"ㄕㄣ","shēn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1158,"身邊",131,66,"ㄕㄣ ㄅㄧㄢ","shēnbiān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1159,"身高",18,10,"ㄕㄣ ㄍㄠ","shēngāo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1160,"聖誕老人",3,0,"ㄕㄥˋ　ㄉㄢˋ　ㄌㄠˇ　ㄖㄣˊ","shèngdànlǎorén","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-culture-arts"
1161,"生活費",4,11,"ㄕㄥ ㄏㄨㄛˊ ㄈㄟˋ","shēnghuófèi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1162,"時",2473,455,"ㄕˊ","shí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1163,"時差",2,1,"ㄕˊ ㄔㄚ","shíchā","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-travel-transport"
1164,"時鐘/鐘1",29,15,"ㄕˊ ㄓㄨㄥ / ㄓㄨㄥ","shízhōng / zhōng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1165,"市區",13,18,"ㄕˋ ㄑㄩ","shìqū","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1166,"熟",31,52,"ㄕㄡˊ","shóu","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1167,"數",137,66,"ㄕㄨˇ","shǔ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1168,"刷",14,26,"ㄕㄨㄚ","shuā","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1169,"書法",16,11,"ㄕㄨ ㄈㄚˇ","shūfǎ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1170,"書架",14,3,"ㄕㄨ ㄐㄧㄚˋ","shūjià","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1171,"書桌",15,8,"ㄕㄨ ㄓㄨㄛ","shūzhuō","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1172,"睡衣",7,1,"ㄕㄨㄟˋ　ㄧ","shuìyī","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1173,"速度",118,111,"ㄙㄨˋ ㄉㄨˋ","sùdù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1174,"孫女",10,7,"ㄙㄨㄣ　 ㄋㄩˇ","sūnnǚ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1175,"孫子",40,31,"ㄙㄨㄣ　 ˙ㄗ","sūnzi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1176,"鎖",22,11,"ㄙㄨㄛˇ","suǒ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1177,"談",181,217,"ㄊㄢˊ","tán","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1178,"討論",213,149,"ㄊㄠˇ ㄌㄨㄣˋ","tǎolùn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1179,"套餐",1,3,"ㄊㄠˋ  ㄘㄢ","tàocān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-food-dining"
1180,"題",16,62,"ㄊㄧˊ","tí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1181,"題目",37,27,"ㄊㄧˊ ㄇㄨˋ","tímù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1182,"廳",9,4,"ㄊㄧㄥ","tīng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1183,"同班",5,5,"ㄊㄨㄥˊ ㄅㄢ","tóngbān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1184,"同時",413,253,"ㄊㄨㄥˊ ㄕˊ","tóngshí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1185,"同樣",250,156,"ㄊㄨㄥˊ ㄧㄤˋ","tóngyàng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1186,"偷",43,25,"ㄊㄡ","tōu","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-safety-security"
1187,"拖鞋",4,12,"ㄊㄨㄛ ㄒㄧㄝˊ","tuōxié","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1188,"外公/外祖父",12,13,"ㄨㄞˋ ㄍㄨㄥ /ㄨㄞˋ ㄗㄨˇ ㄈㄨˋ","wàigong/ wàizǔfù","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1189,"外婆/外祖母",15,20,"ㄨㄞˋ ㄆㄛˊ /ㄨㄞˋ ㄗㄨˇ ㄇㄨˇ","wàipó/wài zǔmǔ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1190,"完",49,95,"ㄨㄢˊ","wán","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1191,"完全",461,302,"ㄨㄢˊ ㄑㄩㄢˊ","wánquán","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1192,"蚊子",10,29,"ㄨㄣˊ ˙ㄗ","wénzi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1193,"臥房",12,1,"ㄨㄛˋ ㄈㄤˊ","wòfáng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1194,"臥室",18,4,"ㄨㄛˋ　ㄕˋ","wòshì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1195,"污染/汙染",26,162,"ㄨ ㄖㄢˇ","wūrǎn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-society-community"
1196,"現代",130,67,"ㄒㄧㄢˋ ㄉㄞˋ","xiàndài","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1197,"香味",14,22,"ㄒㄧㄤ ㄨㄟˋ","xiāngwèi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-food-dining"
1198,"鄉下",25,37,"ㄒㄧㄤ ㄒㄧㄚˋ","xiāngxià","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1199,"箱子/箱",37,36,"ㄒㄧㄤ ˙ㄗ/ ㄒㄧㄤ","xiāngzi/ xiāng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1200,"小費",7,1,"ㄒㄧㄠˇ　ㄈㄟˋ","xiǎofèi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1201,"信封",14,3,"ㄒㄧㄣˋ ㄈㄥ","xìnfēng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-public-services"
1202,"星星",21,13,"ㄒㄧㄥ ˙ㄒㄧㄥ","xīngxing","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-environment-nature"
1203,"心情",140,154,"ㄒㄧㄣ ㄑㄧㄥˊ","xīnqíng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1204,"選擇",275,244,"ㄒㄩㄢˇ ㄗㄜˊ","xuǎnzé","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1205,"許多",658,362,"ㄒㄩˇ ㄉㄨㄛ","xǔduō","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1206,"眼",274,102,"ㄧㄢˇ","yǎn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1207,"嚴重",172,378,"ㄧㄢˊ ㄓㄨㄥˋ","yánzhòng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1208,"藥房",6,4,"ㄧㄠˋ ㄈㄤˊ","yàofáng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1209,"藥局",3,0,"ㄧㄠˋ ㄐㄩˊ","yàojú","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1210,"要求",270,139,"ㄧㄠ ㄑㄧㄡˊ","yāoqiú","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1211,"也許",290,132,"ㄧㄝˇ ㄒㄩˇ","yěxǔ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1212,"夜",112,47,"ㄧㄝˋ","yè","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1213,"夜晚",38,20,"ㄧㄝˋ ㄨㄢˇ","yèwǎn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1214,"一般",285,472,"ㄧˋ ㄅㄢ","yìbān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1215,"一切",365,112,"ㄧˊ ㄑㄧㄝˋ","yíqiè","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1216,"衣架",2,2,"ㄧ ㄐㄧㄚˋ","yījià","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1217,"以上",144,145,"ㄧˇ ㄕㄤˋ","yǐshàng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1218,"以下",102,53,"ㄧˇ ㄒㄧㄚˋ","yǐxià","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1219,"意見",133,60,"ㄧˋ ㄐㄧㄢˋ","yìjiàn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1220,"陰天",2,2,"ㄧㄣ ㄊㄧㄢ","yīntiān","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-environment-nature"
1221,"尤其",215,228,"ㄧㄡˊ　 ㄑㄧˊ","yóuqí","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1222,"圓",53,44,"ㄩㄢˊ","yuán","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1223,"原來",210,309,"ㄩㄢˊ ㄌㄞˊ","yuánlái","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1224,"原因",286,217,"ㄩㄢˊ ㄧㄣ","yuányīn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1225,"院子/院",58,33,"ㄩㄢˋ ˙ㄗ/ ㄩㄢˋ","yuànzi/yuàn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1226,"約",171,120,"ㄩㄝ","yuē","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-social-relations"
1227,"約會",20,4,"ㄩㄝ ㄏㄨㄟˋ","yuēhuì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-social-relations"
1228,"月亮",34,29,"ㄩㄝˋ ㄌㄧㄤˋ","yuèliàng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1229,"月台",7,4,"ㄩㄝˋ ㄊㄞˊ","yuètái","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-travel-transport"
1230,"早點",11,11,"ㄗㄠˇ ㄉㄧㄢˇ","zǎodiǎn","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1231,"雜誌",86,92,"ㄗㄚˊ ㄓˋ","zázhì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-leisure-entertainment"
1232,"整",386,782,"ㄓㄥˇ","zhěng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1233,"正",662,247,"ㄓㄥˋ","zhèng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1234,"正常",134,108,"ㄓㄥˋ ㄔㄤˊ","zhèngcháng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-health-medical"
1235,"正好",74,37,"ㄓㄥˋ　ㄏㄠˇ","zhènghǎo","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1236,"正式",86,73,"ㄓㄥˋ ㄕˋ","zhèngshì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1237,"枕頭",15,6,"ㄓㄣˇ ˙ㄊㄡ","zhěntou","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-daily-routines"
1238,"汁",16,18,"ㄓ","zhī","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-food-dining"
1239,"知識",280,111,"ㄓ　ㄕˋ","zhīshì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-education-learning"
1240,"鐘2",14,11,"ㄓㄨㄥ","zhōng","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1241,"中式",2,2,"ㄓㄨㄥ ㄕˋ","zhōngshì","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-culture-arts"
1242,"中學",33,26,"ㄓㄨㄥ ㄒㄩㄝˊ","zhōngxué","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1243,"抓",88,85,"ㄓㄨㄚ","zhuā","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1244,"主人",95,40,"ㄓㄨˇ ㄖㄣˊ","zhǔrén","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-shopping-retail"
1245,"住址",4,1,"ㄓㄨˋ ㄓˇ","zhùzhǐ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1246,"子",64,54,"ㄗˇ","zǐ","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-personal-info"
1247,"自然",341,394,"ㄗˋ ㄖㄢˊ","zìrán","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-emotions-attitudes"
1248,"自由",197,88,"ㄗˋ ㄧㄡˊ","zìyóu","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1249,"座",186,186,"ㄗㄨㄛˋ","zuò","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-core"
1250,"座位",25,6,"ㄗㄨㄛˋ ㄨㄟˋ","zuòwèi","UC::TBCL-level-3-star, UC::TBCL-basic, UC::TBCL-context-travel-transport"
